user_name,true_risk,predicted_risk,vh_proba,extreme_proba,high_proba,low_proba
u484579726,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u198146798,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u526563593,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u71894038,No risk,No risk,0.0000,0.0000,0.0000,0.0000
sergio45129585,No risk,No risk,0.0000,0.0000,0.0000,0.0000
kingjon0707,No risk,No risk,0.0000,0.0000,0.0000,0.0000
bearded_fatty,No risk,No risk,0.0000,0.0000,0.0000,0.0000
michaelmar89181,No risk,No risk,0.0000,0.0000,0.0000,0.0000
cursedfafnir586,No risk,No risk,0.0000,0.0000,0.0000,0.0000
dtk19966,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u449003524,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u309510929,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u515786009,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u529871878,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u439918459,No risk,No risk,0.0000,0.0000,0.0000,0.0000
davefromla,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u308676343,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u504947293,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u437790194,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u423417900,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u555059004,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u445379182,No risk,No risk,0.0000,0.0000,0.0000,0.0000
larrylar52746,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u189488365,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u100289204,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u32253675,No risk,No risk,0.0000,0.0000,0.0000,0.0000
rhodesernest369,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u464468854,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u506208864,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u522617648,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u5693242,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u306716925,No risk,No risk,0.0000,0.0000,0.0000,0.0000
dirtyspice,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u37690500,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u103124792,No risk,No risk,0.0000,0.0000,0.0000,0.0000
billko,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u456295603,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u311866377,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u217603373,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u491998224,No risk,No risk,0.0000,0.0000,0.0000,0.0000
iamdanutc,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u535273038,No risk,No risk,0.0000,0.0000,0.0000,0.0000
gully78,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u312825834,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u320410479,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u213590921,No risk,No risk,0.0000,0.0000,0.0000,0.0000
gabriel13666964,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u533255113,No risk,No risk,0.0000,0.0000,0.0000,0.0000
thomas63947201,No risk,No risk,0.0000,0.0000,0.0000,0.0000
chief7leaf,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u47166058,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u555615048,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u24181134,No risk,No risk,0.0000,0.0000,0.0000,0.0000
guess6767,No risk,No risk,0.0000,0.0000,0.0000,0.0000
guthierresreis,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u471142481,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u24957446,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u238430615,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u250609682,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u498042254,No risk,No risk,0.0000,0.0000,0.0000,0.0000
ry_hardy,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u441753048,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u528304980,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u523519258,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u145297952,No risk,No risk,0.0000,0.0000,0.0000,0.0000
mr.h0rnyd0m,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u99228589,No risk,No risk,0.0000,0.0000,0.0000,0.0000
big_boy6.9,No risk,No risk,0.0000,0.0000,0.0000,0.0000
trontxete,No risk,No risk,0.0000,0.0000,0.0000,0.0000
robertluk,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u271222249,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u529678663,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u249470057,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u222525410,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u390653319,No risk,No risk,0.0000,0.0000,0.0000,0.0000
andrewprime21,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u556220772,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u107124582,No risk,No risk,0.0000,0.0000,0.0000,0.0000
suarmoor,No risk,No risk,0.0000,0.0000,0.0000,0.0000
bizzygreed,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u430634333,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u48293435,No risk,No risk,0.0000,0.0000,0.0000,0.0000
aj02246,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u480713394,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u2871863,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u539241954,No risk,No risk,0.0000,0.0000,0.0000,0.0000
lex390,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u37038201,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u12433531,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u529742673,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u17227398,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u534498347,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u527779379,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u508649624,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u382303664,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u552585624,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u36548377,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u320968713,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u271292764,No risk,No risk,0.0000,0.0000,0.0000,0.0000
rowdydogg,No risk,No risk,0.0000,0.0000,0.0000,0.0000
thebenshow,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u211840732,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u67724381,No risk,No risk,0.0000,0.0000,0.0000,0.0000
andys4,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u301513034,No risk,No risk,0.0000,0.0000,0.0000,0.0000
arif99011,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u545275622,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u525751148,No risk,No risk,0.0000,0.0000,0.0000,0.0000
jrdjr2381,No risk,No risk,0.0000,0.0000,0.0000,0.0000
colinche,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u31898823,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u247582669,No risk,No risk,0.0000,0.0000,0.0000,0.0000
loopers,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u488172195,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u400607807,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u371872083,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u180728224,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u506998636,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u283061404,No risk,No risk,0.0000,0.0000,0.0000,0.0000
carty420,No risk,No risk,0.0000,0.0000,0.0000,0.0000
itachiuchiiw0i,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u25966161,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u543603548,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u64515388,No risk,No risk,0.0000,0.0000,0.0000,0.0000
ruusiitoo04,No risk,No risk,0.0000,0.0000,0.0000,0.0000
rickyisbest,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u68257419,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u713683,No risk,No risk,0.0000,0.0000,0.0000,0.0000
cheekyboy931,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u99183525,No risk,No risk,0.0000,0.0000,0.0000,0.0000
just871,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u543829426,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u420504519,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u403623270,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u344050374,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u500554528,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u11304646,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u537754119,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u190196332,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u183565203,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u51724994,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u415656939,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u68379452,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u386941197,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u307144425,No risk,No risk,0.0000,0.0000,0.0000,0.0000
jackems243,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u461254813,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u60217749,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u535762707,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u260817476,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u346965739,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u66914463,No risk,No risk,0.0000,0.0000,0.0000,0.0000
benjiboy108,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u509086631,No risk,No risk,0.0000,0.0000,0.0000,0.0000
a01091994,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u141115702,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u540643789,No risk,No risk,0.0000,0.0000,0.0000,0.0000
iami10,No risk,No risk,0.0000,0.0000,0.0000,0.0000
mattismoi,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u65705117,No risk,No risk,0.0000,0.0000,0.0000,0.0000
justartdraw,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u28027344,No risk,No risk,0.0000,0.0000,0.0000,0.0000
randrgent,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u13884048,No risk,No risk,0.0000,0.0000,0.0000,0.0000
w.spender19,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u306256587,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u555155131,No risk,No risk,0.0000,0.0000,0.0000,0.0000
dpaul1892,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u550826713,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u546972899,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u544714007,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u395287238,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u534493467,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u442253018,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u548306678,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u491344872,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u548974213,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u537043909,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u444530335,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u71797971,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u301258191,No risk,No risk,0.0000,0.0000,0.0000,0.0000
hm888,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u462475126,No risk,No risk,0.0000,0.0000,0.0000,0.0000
u308521605,No risk,No risk,0.0000,0.0000,0.0000,0.0000
