user_name,predicted_risk,vh_proba,extreme_proba,high_proba,low_proba
nandyman594,No risk,0.0,0.0,0.0,0.0
u113206484,No risk,0.0,0.0,0.0,0.0
akbar1901,No risk,0.0,0.0,0.0,0.0
u507124612,No risk,0.0,0.0,0.0,0.0
irandj,No risk,0.0,0.0,0.0,0.0
u174848366,No risk,0.0,0.0,0.0,0.0
blueralph,No risk,0.0,0.0,0.0,0.0
u42773783,No risk,0.0,0.0,0.0,0.0
santos_hamza,No risk,0.0,0.0,0.0,0.0
u122598307,No risk,0.0,0.0,0.0,0.0
u444695477,No risk,0.0,0.0,0.0,0.0
u295398670,No risk,0.0,0.0,0.0,0.0
tastethehandle,No risk,0.0,0.0,0.0,0.0
u343047522,No risk,0.0,0.0,0.0,0.0
chino020413,No risk,0.0,0.0,0.0,0.0
writergirl69,No risk,0.0,0.0,0.0,0.0
dragonpika97,No risk,0.0,0.0,0.0,0.0
u439418985,No risk,0.0,0.0004,0.0,0.0
u52058508,No risk,0.0,0.0,0.0,0.0
papadaddygorgio,No risk,0.0,0.0,0.0,0.0
u510831019,No risk,0.0,0.0,0.0,0.0
u465993028,No risk,0.0,0.0,0.0,0.0
u95749111,No risk,0.0,0.0,0.0,0.0
u245255016,No risk,0.0,0.0,0.0,0.0
jamesmcdonald69,No risk,0.0,0.0,0.0,0.0
u427949694,No risk,0.0,0.0,0.0,0.0
u520494176,No risk,0.0,0.0,0.0,0.0
